text,category
"Gubernur Jambi nonaktif Zumi Zola berharap keadilan jelang menghadapi persidangan dengan agenda pembacaan surat tuntutan. Zumi sebelumnya didakwa perkara suap dan gratifikasi.\n\""Pak Zumi tentu berdoa ada keputusan yang adil untuk beliau dan semua pihak,\"" ucap pengacara Zumi, Handika Honggowongso, ketika dihubungi, Kamis (8/11/2018).\nHarapan itu ditautkan lantaran Zumi merasa sudah kooperatif dan terbuka selama menjalani proses hukum. Dia berharap sikapnya itu bisa menjadi pertimbangan.\n\""Sikap Pak Zumi juga sudah diuji kemudian juga sudah dinilai, sudah konsisten, kooperatif, terbuka, jujur, baik di tahap penyidikan maupun persidangan kemarin,\"" tutur Handika.\nTerlepas dari itu, Zumi akan menerima apa pun tuntutan dari jaksa KPK nanti. Saat ini persidangan belum dimulai.\nDalam perkara ini, Zumi didakwa menerima gratifikasi dengan total nilai Rp 44 miliar dan mobil Alphard. Gratifikasi itu disebut diterima Zumi sejak dia menjabat sebagai Gubernur Jambi.\nSelain itu, Zumi Zola juga didakwa menyetor Rp 16,490 miliar ke DPRD Jambi. Uang itu disebut untuk mempermuluskan pengesahan Rancangan Perda APBD Jambi tahun 2017-2018.",politik
"Partai Gerindra mengklaim sosok tegas tak otoriter yang dimaksud Presiden Joko Widodo (Jokowi) adalah Prabowo Subianto. NasDem--salah satu partai pengusung Jokowi--menepis tudingan Gerindra.\n\""Kalau tegas itu diidentikkan dengan telanjang dada dan banting HP, wah jadi barbar dong,\"" kata Ketua DPP NasDem Irma Suryani Chaniago kepada wartawan, Kamis (8/11/2018).\nMomen telanjang dada Prabowo yang disebut-sebut Irma itu terjadi selepas eks Danjen Kopassus itu menyatakan diri siap maju sebagai capres 2019, pada April 2018. Saat itu, Prabowo bertelanjang dada sambil diarak sejumlah kader Gerindra.\nIrma kemudian membeberkan hal lain untuk menepis klaim Gerindra itu. Dia menilai Prabowo suka membentak dan membuat orang takut.\n\""Tegas itu jauh dari bentak-bentak dan bikin takut, tegas itu mampu memimpin dengan bijak dan paham psikologi orang yang dipimpin,\"" ujar juru bicara Timses Jokowi-Ma'ruf Amin itu.\nSelain itu, Irma juga berbicara soal peristiwa penghilangan paksa aktivis 1998. Apa maksudnya?\n\""Otoriter itu orang yang kalau tidak sepakat dengan dia diajak berantem atau diculik. Kalau Jokowi otoriter, orang yang bicaranya seperi Andre (anggota Badan Komunikasi DPP Gerindra Andre Rosiade) itu sudah diculik,\"" tutur Irma.\nPresiden Jokowi sebelumnya berbicara tentang pemimpin yang tegas tapi tidak otoriter. Partai Gerindra menyebut sosok itu ada di diri Ketum Prabowo Subianto.\n\""Saya rasa tepat pernyataan Pak Jokowi itu bahwa Indonesia butuh pemimpin yang tegas tapi tidak otoriter. Dan itu ada di Pak Prabowo,\"" klaim anggota Badan Komunikasi DPP Partai Gerindra Andre Rosiade.\nIkuti perkembangan isu politik ter-update hanya di detikPemilu! (detik.com/pemilu)",politik
"Presiden Joko Widodo (Jokowi) tertarik untuk menyaksikan konser band rock legendaris asal Amerika Serikat Guns N Roses. Jika ada waktu yang kosong, dia akan langsung ke Stadion Gelora Bung Karno (GBK) untuk menyaksikan konser itu.\nJokowi mengatakan, rencananya untuk ke konser itu masih ditimbang-timbang. Dia bilang bisa saja dia mendadak ke konser tersebut.\n\""Nanti dadakan. Dadakan itu bisa iya bisa tidak,\"" kata Jokowi kepada wartawan di Istana Merdeka, Jl Medan Merdeka Utara, Jakarta Pusat, Kamis (8/11/2018).\nJokowi menyampaikan kegiatan yang dia jalani sepanjang hari sangat padat. Hal itulah yang menjadi pertimbangannya ke konser musik rock tersebut belum bisa dipastikan.\n\""Kan dari pagi, tengah malam, apa pernah berhenti sih kita ini? Siapa yang pernah ngikuti saya dari subuh sampai subuh?\"" tanya Jokowi sambil tersenyum kepada wartawan. \n\""Jadi kalau memang ada kosong dikit, mau lihat lah,\"" imbuhnya.\nKonser musik itu rencananya akan digelar di Stadion GBK malam ini. Konser ini adalah rangkaian tur dunia 'Not In This Lifetime' yang dimulai sejak April 2016.",politik
"Pemadaman listrik yang terjadi di sejumlah daerah di Jatim mengakibatkan semrawutnya lalu lintas di daerah-daerah yang terdampak. \nSeperti halnya yang terjadi di Kota dan Kabupaten Madiun. Lalu lintas di sejumlah persimpangan terpantau semrawut karena padamnya traffic light.\n\""Oi sabar mas,\"" teriak seorang wanita yang berusaha melintas di persimpangan jalan Salak dan Jalan Asahan, Kota Madiun, Kamis (8/11/2018).\ngoogletag.cmd.push(function() { googletag.display('div-gpt-ad-1535945011846-0'); });\nKasat Lantas Polres Madiun Kota AKP Affan Priyo Wicaksono mengatakan, pemadaman listrik oleh PLN itu berimbas pada padamnya 27 traffic light (TL). \nPihaknya pun mengerahkan sekitar 60 personil untuk mengatur arus lalu lintas.\n\""Ada 27 traffic light yang tak berfungsi dampak dari padamnya PLN. Kita sudah kerahkan anggota untuk mengatur lalu lintas,\"" katanya kepada detikcom.\nDitambahkan Affan, untuk mengatur lalu lintas di setiap persimpangan telah ditempatkan 2-4 personel. Hal ini untuk mengantisipasi semrawutnya arus lalu lintas selama listrik belum menyala.\nDiberitakan sebelumnya, pemadaman listrik ini terjadi karena adanya gangguan pada sistem tegangan tinggi yang mensuplai gardu induk. Gangguan ini akibat sambaran petir yang menyebabkan dua isolator listrik yang ada di Kota Kediri pecah.\n\""Penyebabnya transmisi 150 KV dari Kediri ke Manisrejo (Madiun) terkena sambaran petir yang mengakibatkan isolator pada dua tower pecah sehingga aliran listrik ke gardu induk 70 KV yang diambil dari GI 150 KV Manisrejo tidak bisa beroperasi,\"" papar Senior Manager General Affair PLN Wilayah Jatim, Dwi Suryo Abdullah.\nSejumlah daerah yang terkena pemadaman listrik di antaranya Madiun, Caruban, Ngawi, Magetan, Ponorogo, Trenggalek hingga Pacitan.",ekonomi
"Peneliti Australia melaporkan jejak mikroplastik telah terdeteksi pada ikan-ikan liar yang ditangkap di wilayah Warisan Dunia Great Barrier Reef di Queensland.Sebuah penelitian yang dilakukan oleh Institut Ilmu Kelautan Australia (AIMS) di Townsville ini merupakan studi pertama yang melaporkan deteksi adanya serat buatan di usus ikan karang, yang merupakan spesies ikan yang penting secara komersial, sebagai tanda-tanda awal limbah laut sudah memasuki rantai makanan hewan.Penelitian yang diterbitkan di Nature ini menemukan 115 item limbah di usus 19 ekor ikan trout karang remaja yang tertangkap di Lizard, Orpheus, Heron dan One Tree Islands di Great Barrier Reef.Ahli ekologi laut dari AIMS Frederieke Kroon mengatakan efek jangka panjang dari polusi ini masih belum jelas pada tahap ini.\""Dalam penelitian kami, kondisi ikan karang tidak terlihat terpengaruh oleh banyaknya mikrodebris yang tertelan,\"" katanya.Dr Kroon mengatakan efek dari plastik yang dicerna pada tingkat pemijahan dan kelangsungan hidup perikanan juga belum diketahui pada titik ini.\""Kami tidak tahu apakah ini bisa menimbulkan efek jangka panjang pada reproduksi atau kematian ikan trout karang.\""Kuota untuk penangkapan ikan komersial ikan karang baru-baru ini telah dipulihkan ke tingkat pra-2014, ketika terjadi penurunan tajam stok ikan karang yang menyebabkan dikuranginya jumlah tangkapan yang diijinkan oleh Pemerintah Queensland.Temuan penelitian akan digunakan untuk meningkatkan pengetahuan tentang apa jenis serat mikroplastik yang biasa dicerna oleh ikan, dengan bukti yang menunjukkan serat semi-sintetis seperti rayon lebih sering ditemukan daripada serat buatan seperti poliester.Sumber mikroplastik tidak diketahui \nPlastik yang tidak bisa didaur ulang seperti sedotan sekali pakai merupakan di antara sumber polusi lingkungan di perairan pesisir. (Supplied: Harriet Spark)\nAsal-usul limbah mikroplastik yang ditemukan di dalam ikan-ikan itu juga belum dikonfirmasi, yang berarti bisa berbasis di darat atau dari lalu lintas pengiriman melalui Great Barrier Reef.Gerakan bebas plastik telah menyebabkan penghapusan barang-barang sekali pakai seperti alat pemotong dari banyak bisnis pesisir dalam beberapa bulan terakhir, di mana organisasi anti plasti Plastic Free Noosa mengklaim baru-baru ini telah menghapus 1,4 juta barang plastik dari peredaran pada tahun 2018 melalui program sukarela untuk menggantikan plastik dengan kompos bahan.Sementara gerakan ini disambut baik oleh kelompok-kelompok lingkungan, Dewan Konservasi Laut Australia (AMCS) menginginkan undang-undang untuk menegakkan perubahan tersebut.Direktur kampanye Great Barrier Reef, Imogen Zethoven mengatakan, Pemerintah Federal harus bekerja untuk mengurangi sekitar 5 triliun potongan plastik di lautan.\""AMCS ingin melihat Pemerintah Australia memperkenalkan pengurangan 70 persen polusi plastik memasuki saluran air kita dan mencapai samudera kita pada tahun 2020, dimulai segera dengan larangan penggunaan plastik sekali pakai pada tahun 2023,\"" katanya.\""[Penelitian] ini menjadi perhatian besar kami. dan Lebih banyak penelitian perlu dilakukan untuk memeriksa konsekuensi dari polusi pada kesehatan manusia dan efek jangka panjang pada ikan karang.\""Kampanye untuk menggantikan penggunaan plastik sekali pakai aktif di negara-negara maju seperti Australia, dimana para pecinta lingkungan mulai mengurangi penggunaan plastik akan membantu mengurangi limbah plastik yang mengalir ke garis pantai.AMCS juga menyambut baik perluasan 10 persen insentif daur ulang kontainer, yang baru-baru ini diluncurkan di New South Wales dan Queensland.\""Kami berharap tingkat daur ulang kontainer ini meningkat hingga 50 persen, mencapai tingkat yang sama seperti di Australia Selatan di mana tingkat pengembalian lebih dari 80 persen,\"" kata Zethoven.Industri Makanan Laut Australia telah dihubungi untuk dimintai komentar.Simak beritanya dalam Bahasa Inggris disini.",iptek
"Tim khusus Bareskrim Polri meminta keterangan kru dan teknisi Lion Air PK-LQP Denpasar-Jakarta sehari sebelum jatuhnya pesawat di perairan Karawang. Polisi juga mengecek kesehatan para kru pesawat yang bertugas dari Denpasar itu. \n\""Sudah diperiksa di Denpasar, (penerbangan) dari Denpasar ke Jakarta. Hasil pemeriksaan ini semua sedang dikumpulkan, masih investigasi masih penyelidikan. Nanti akan divalidkan dengan hasil KNKT,\"" ujar Kepala Biro Penerangan Masyarakat (Karo Penmas) Divisi Humas Polri Brigjen Dedi Prasetyo di Mabes Polri, Jl Trunojoyo, Kebayoran Baru, Jaksel, Kamis (8/11/2018). \nTim khusus Bareskrim ditugaskan untuk melakukan penyelidikan dari nonteknis. Karena itu, pemeriksaan terbatas seputar kronologis saat Lion Air PK-LQP terbang dari Denpasar ke Jakarta. \n\""Dari kesehatan, kemudian dari teknisi pesawat, latar belakangnya. Dari sekuriti bandara, kemudian bagian yang angkat-angkat barang itu, sekuriti barang, yang seperti itu yang kita dalami,\"" sambung Dedi.\n\""Nonteknisnya siapa tahu pilotnya menggunakan obat, kemudian dari sisi medisnya. Medisnya bagaimana, apakah dia dipaksa dengan kondisi kesehatan yang nggak prima. Kemudian kita meyelidiki sabotase. Sabotase sementara belum ditemukan kemudian serangan terorisme sampai hari ini masih belum ditemukan. Jadi yang kita mengerucut ya itu nonteknisnya itu, masalah kesehatan,\"" papar Dedi.\nSebelumnya Komite Nasional Keselamatan Transportasi (KNKT) menyebut pesawat Lion Air PK-LQP mengalami masalah dengan alat penunjuk kecepatan. Masalah itu sudah terjadi dalam 4 penerbangan terakhir sebelum jatuh di perairan Karawang, Senin (29/10).\nKemudian dirilis temuan terbaru dari hasil pemeriksaan flight data recorder (FDR) black box Lion Air PK-LQP. Menurut KNKT, kerusakan ditemukan dari sensor AOA atau angle of attack.\n\""Setelah dilakukan troubleshooting (pencarian sumber masalah secara sistematis), yang rusak adalah AOA,\"" kata Ketua KNKT Soerjanto Tjahjono, Rabu (7/11).\n\""AOA itu mengukur sudut pesawat terhadap aliran udara. Jadi, kalau pesawatnya seperti ini (kondisi mendatar), ini nol, tapi kalau pesawatnya naik, nah itu AOA itu berapa derajat terhadap aliran udara akan terbaca,\"" imbuh Soerjanto.\nSoerjanto mengatakan sensor AOA menunjukkan perbedaan pada saat penerbangan dari Bali ke Jakarta. Dalam penerbangan itu, AOA pesawat PK-LQP sebelah kiri berbeda 20 derajat dengan sebelah kanan.",sosial
"Hasil pemilu sela di AS diperkirakan bisa menyulitkan pemerintahan Presiden Donald Trump, karena DPR sekarang dikuasai kubu oposisi. Pasar uang bereaksi negatif, nilai tukar mata uang AS di pasar global turun.\nNilai tukar mata uang dolar AS mengalami tekanan dan melemah di kebanyakan pasar uang internasional pada Rabu pagi (7/11). Banyak mata uang lain menunjukkan tren menguat, antara lain euro. Salah satu penyebabnya adalah hasil pemilu sela yang diyakini bisa menghambat beberapa proyek ekonomi pemerintahan Trump. Tapi ada juga beberapa kebijakan yang mungkin lebih mudah diterapkan.Pakar ekonomi di Ifo-Institut Mnchen Clemens Fuest menerangkan, Trump akan lebih sulit menjalankan agenda ekonominya. Namun kecenderungan proteksionisme bisa lebih kuat, karena Partai Demokrat memang dikenal lebih mendukung proteksionisme daripada partai Republik yang biasanya mempromosikan perdagangan bebas.Clemens Fuest mengatakan, ada tiga konsekuensi penting dari hasil pemilu sela AS. \""Pertama, Trump tampaknya akan kesulitan menerapkan keringanan pajak yang dia janjikan. Kedua, batas atas kredit bagi pemerintah harus dinaikkan bulan Maret mendatang, karena kas negara terancam kosong. Ketiga, Demokrat akan menekan Trump dengan membentuk bermacam Komisi Pemeriksa.\""Kalau kas negara makin menyusut, Trump terpaksa harus menaikkan pemasukan, antara lain dengan menaikkan pajak, yang bertolak belakang dengan janji politiknya. Itu berarti, masa-masa booming yang sekarang sedang dialami AS bisa mendadak terhenti.Perang dagang belum akan redaMenurut Fuest, strategi perang dagang yang saat ini dilancarkan pemerintahan Trump kemungkinan akan menguat, bahkan makin agresif terhadap Eropa dan Cina. Di dalam negeri, Trump akan sulit mewujudkan rencananya menaikkan anggaran militer atau membiayai pembangunan tembok pembatas di perbatasan ke Meksiko.Dalam dua tahun ke depan, perekonomian AS bahkan terancam \""diam di tempat\"", kata Fuest.Direktur Ekonomi Bank Berenberg Holger Schmiedin mengatakan, karena kedua kamar di Kongres AS bisa saling blokir, politik yang mungkin dijalankan adalah \""kompromi pada titik terendah\"". Padahal masih ada banyak hal penmting yang harus ditangani.\""Masalah-masalah terbesar AS adalah sektor pelayanan kesehatan, Medicare yang dicanangkan Obama dan ingin dibatalkan Trump, serta defisit anggaran yang makin membengkak. Semua masalah ini sekarang bisa terbengkalai,\"" kata Schmiedin.\""Masa-masa tidak nyaman\""Direktur Ekonomi VP Bank Thomas Gitzel mengatakan, selama ini Trump menjalankan politik keuangan yang longgar. Kebijakan itu sekarang bisa dihadang oleh kubu Demokrat di parlemen.\""Selain itu, Demokrat di parlemen sekarang bisa membentuk berbagai komisi penyelidikan yang bisa menyudutkan Trump. Jadi ini masa-masa tidak nyaman bagi pusat pemerintahan\"", kata Gitzel.Direktur Ekonomi Commerzbank Jrg Krmer memperkirakan, politik luar negeri AS malah bisa jadi lebih agresif. \""Kalau trump tersudut di dalam negeri, bisa saja dia berpaling ke politik luar negeri dan bereaksi makin keras\"". Karena untuk kebijakan luar negeri, Presiden memang bisa bertindak cukup bebas.Jrg Krmer menambahkan, perang dagang antara AS dan Uni Eropa tetap menjadi resiko besar bagi Jerman. hp/rzn (dpa, afp,rtr)",politik
"Sebuah spyware buatan perusahaan Israel digunakan untuk melacak pergerakan wartawan Arab Saudi Jamal Khashoggi sebelum dibunuh. Dengan spyware itu, otoritas Saudi mengetahui aktivitas Khashoggi yang tinggal di luar negeri. \nSeperti dilansir kantor berita Anadolu Agency, Kamis (8/11/2018), hal itu diungkapkan mantan kontraktor intelijen Amerika Serikat (AS), Edward Snowden, dalam pernyataan via video call dari Rusia dalam sebuah konferensi di Tel Aviv, Israel. Spyware merupakan program yang terinstall dalam sistem komputer dan mampu mengumpulkan berbagai informasi soal pemilik komputer itu, untuk kemudian mengirimkan informasi ke lokasi tertentu.\nDituturkan Snowden dalam pernyataannya bahwa spyware Pegasus buatan perusahaan keamanan siber Israel, NSO Group Technologies, dijual ke sejumlah pemerintahan berbagai negara untuk digunakan dalam melacak musuh. \n\""Saudi, tentu saja, tahu bahwa Khashoggi akan pergi ke Konsulat (di Istanbul, Turki), karena dia memiliki temu janji. Tapi bagaimana mereka tahu tujuan dan rencana-rencananya?\"" ucap Snowden. \nKhashoggi (60) yang seorang jurnalis senior Saudi, tewas dibunuh di dalam Konsulat Saudi di Istanbul pada 2 Oktober lalu. Kantor jaksa Istanbul menyebut Khashoggi tewas dicekik lalu dimutilasi oleh tim intelijen Saudi. Otoritas Saudi telah mengakui Khashoggi tewas dalam pembunuhan berencana, namun lokasi jenazahnya hingga kini masih misterius.\nDiungkapkan Snowden bahwa telepon genggam atau smartphone milik salah satu sahabat Khashoggi telah terinfeksi dengan spyware Pegasus. Disebutkan Snowden bahwa spyware itu memampukan otoritas Saudi mengumpulkan informasi soal Khashoggi.\n\""Kebenarannya adalah mereka mengejar beberapa sahabatnya (Khashoggi-red) melalui sebuah program yang diciptakan oleh perusahaan Israel,\"" sebut Snowden, yang tidak menyebut lebih lanjut identitas sahabat Khashoggi itu. Hanya disebut bahwa sahabat Khashoggi itu mengasingkan diri ke Kanada. \nSecara terpisah, laporan dari institut penelitian Kanada, Citizen Lab, menyebut sahabat Khashoggi yang dimaksud adalah Omar Abdulaziz yang berstatus permanent resident Kanada. \n\""Kami memiliki keyakinan tinggi bahwa telepon selular Omar Abdulaziz, seorang aktivitas Saudi dan permanent resident Kanada, ditargetkan dan diinfeksi dengan spyware Pegasus milik NSO Group,\"" ungkap laporan Citizen Lab tersebut. \nSpyware Pegasus yang bisa melakukan pengintaian secara tak terbatas pada telepon genggam, dipandang sebagai aplikasi spyware mobile paling kuat di dunia. \nSnowden yang melarikan diri dari AS usai membocorkan ribuan dokumen soal program pengintaian jangka panjang pemerintah AS ini, mendapat suaka politik di Rusia sejak tahun 2013. Otoritas Rusia memperpanjang izin tinggal Snowden hingga tahun 2020.",iptek
"Menteri Pertahanan (Menhan) Ryamizard Ryacudu memberi sambutan di acara seminar Indo Defence. Menhan menyoroti aksi-aksi dari para kelompok terorisme.\n\""Sekali lagi, (teroris) mereka bukan Islam. Saya malu kita jadi dicurigai karena Islam. Kita harus berantas teroris itu,\"" kata Ryamizard, Kamis (8/11/2018).\nRyamizard menyampaikan hal ini dalam sambutannya di seminar Indo Defence bertajuk 'Ensuring Regional Stability through Cooperation on Counter Terrorism' di JIExpo, Kemayoran, Jakarta Pusat. Dia menambahkan ada dua ancaman yang dihadapi negara-negara saat ini termasuk negara Indonesia.\nDua ancaman itu yakni ancaman nyata dan ancaman belum nyata. Ancaman belum nyata yakni perang antarnegara. Sementara ancaman nyata yaitu terorisme, bencana alam, hingga pemberontakan.\nIa menyebut sangat tidak suka dengan teroris dan pemberontakan. Untuk menghadapi teroris disebutnya harus dengan kekuatan seluruh masyarakat Indonesia.\n\""Yang nyata sekali adalah teroris. Teroris yang kita hadapi sekarang adalah teroris generasi ketiga. Pertama adalah Al-Qaeda dia menghantam ke barat. Kedua ini seluruhnya dia ngaku-ngaku Islam dan merusak Islam. Sebenarnya teroris musuh Islam karena merusak nama Islam,\"" kata Ryamizard.\n\""Generasi kedua itu ISIS, ketiga adalah pahlawan atau pejuang yang pulang dari Suriah, Afghanistan nah itu generasi ketiga,\"" sambungnya.\nIa menyoroti kelompok teroris ISIS. Ia menyebut ISIS lahir akibat konflik politik di Irak dan Suriah. ISIS tidak ada kaitannya dengan Islam.\n\""ISIS pada mulainya hanyalah kekuatan di Irak. Di sini perlu kita garis bawahi bahwa ISIS hanyalah buah dari konflik politik Irak-Suriah yang nggak ada kaitannya dengan agama. Dia biar keren ngaku Islam biar semua dunia bantu dia, (padahal) dia merusak Islam,\"" kata Ryamizard.\nKelompok teroris itu sering mengubah strateginya agar tidak terlacak oleh pihak keamanan. Untuk itu, Ryamizard menyebut Polri-TNI dan seluruh masyarakat Indonesia harus bekerja sama menghadapi musuh semua negara itu.\n\""Bahwa operasi terus berubah agar tidak mudah dideteksi oleh aparat keamanan, seperti yang terjadi di Indonesia kelompok ISIS gunakan modus baru dengan satu keluarga yang terjadi di Surabaya,\"" kata Ryamizard.",politik
"Imam Besar FPI Habib Rizieq Syihab curiga ada operasi intelijen dari Indonesia yang mengerjai dirinya di Saudi. Jubir FPI Munarman menyinggung soal anggota lapangan 'Pejaten'.\n\""Info khusus, anggota lapangan Pejaten dikabarkan hari ini mereka akan meninggalkan Saudi,\"" kata Munarman kepada wartawan, Rabu (8/11/2018).\nMunarman tak menjelaskan lebih detail soal 'anggota lapangan Pejaten' yang dimaksudnya. Di pernyataan sebelumnya, dia menyampaikan dugaan bahwa pemasang bendera ISIS yang membuat Habib Rizieq diperiksa Saudi adalah 'intelijen busuk dari Indonesia'.\n\""Beliau (Habib Rizieq-red) menyampaikan bahwa pihak yang diduga kuat sebagai pelaku adalah 'intelijen busuk dari Indonesia',\"" ujar Munarman.\nDimintai konfirmasi terpisah, Jubir Badan Intelijen Negara (BIN) Wawan Purwanto masih belum bisa memberikan tanggapan soal pernyataan Munarman. \""Saya sedang rapat. Nanti saya akan berikan tanggapan,\"" ujar Wawan.",politik
